id,filename,ident,name,type,frequency_khz,latitude_deg,longitude_deg,elevation_ft,iso_country,dme_frequency_khz,dme_channel,dme_latitude_deg,dme_longitude_deg,dme_elevation_ft,slaved_variation_deg,magnetic_variation_deg,usageType,power,associated_airport
85159,Budapest_NDB_HU,A,Budapest,NDB,343,47.45500183105469,19.210500717163086,,HU,,,,,,,3.234,TERMINAL,LOW,
85177,Madrid_NDB_ES,AA,Madrid,NDB,355,40.44820022583008,-3.5388100147247314,,ES,,,,,,,-2.13,TERMINAL,LOW,
85183,Aalborg_TACAN_DK,AAL,Aalborg,TACAN,116700,57.10390090942383,9.992810249328613,57,DK,116700,114X,,,,1.008,0.598,BOTH,HIGH,EKYT
85184,Aalborg_VOR-DME_DK,AAL,Aalborg,VOR-DME,116700,57.10369873046875,9.995579719543457,57,DK,116700,114X,57.1039,9.99281,57,1.008,0.589,RNAV,HIGH,EKYT
85205,Abbeville_VOR-DME_FR,ABB,Abbeville,VOR-DME,108450,50.135101318359375,1.8546899557113647,223,FR,108450,021Y,,,,-3.007,-1.232,BOTH,HIGH,LFOI
85216,Albenga_NDB_IT,ABN,Albenga,NDB,420,44.05580139160156,8.221110343933105,,IT,,,,,,,0.515,BOTH,LOW,LIMG
85219,Albacete_NDB_ES,ABT,Albacete,NDB,321,38.94409942626953,-1.99767005443573,,ES,,,,,,,-1.399,LO,MEDIUM,LEAB
85221,Altenburg_NDB_DE,ABU,Altenburg,NDB,330,50.99380111694336,12.520999908447266,581,DE,,,,,,,1.561,TERMINAL,LOW,EDAC
85229,Alcobendas_NDB_ES,ACD,Alcobendas,NDB,417,40.58570098876953,-3.6765100955963135,,ES,,,,,,,-2.162,LO,LOW,LEMD
85239,Arcata_VOR-DME_US,ACV,Arcata,VOR-DME,110200,40.98139953613281,-124.10800170898438,193,US,110200,039X,,,,17.001,15.535,LO,LOW,KACV
85269,Aberdeen_VOR-DME_GB,ADN,Aberdeen,VOR-DME,114300,57.31060028076172,-2.2672200202941895,600,GB,114300,090X,,,,-5.001,-4.148,BOTH,HIGH,EGPD
85277,Andraitx_NDB_ES,ADX,Andraitx,NDB,384,39.549400329589844,2.395859956741333,,ES,,,,,,,-0.282,BOTH,LOW,
85289,Affligem_VOR-DME_BE,AFI,Affligem,VOR-DME,114900,50.907798767089844,4.138889789581299,284,BE,114900,096X,,,,-2.01,-0.416,TERMINAL,HIGH,EBBR
85301,Augsburg_NDB_DE,AGB,Augsburg,NDB,318,48.42430114746094,10.933099746704102,1542,DE,,,,,,,1.284,BOTH,LOW,EDMA
85303,Altenburg_DME_DE,AGD,Altenburg,DME,115300,50.98270034790039,12.512299537658691,624,DE,115300,100X,,,,,1.542,TERMINAL,LOW,EDAC
85308,Agen_VOR-DME_FR,AGN,Agen,VOR-DME,114800,43.88800048828125,0.8728610277175903,868,FR,114800,095X,,,,-2.007,-1.062,BOTH,HIGH,
85319,Amedee_VOR-DME_US,AHC,Amedee,VOR-DME,109000,40.26789855957031,-120.1520004272461,4028,US,109000,027X,,,,17.001,15.017,TERMINAL,LOW,
85322,Alghero_TACAN_IT,AHO,Alghero,TACAN,109300,40.63610076904297,8.289440155029297,88,IT,109300,030X,,,,,0.54,BOTH,HIGH,LIEA
85351,Ajaccio_VOR-DME_FR,AJO,Ajaccio,VOR-DME,114800,41.77050018310547,8.774669647216797,2142,FR,114800,095X,41.7701,8.77447,,0.007,1.002,BOTH,HIGH,
85390,Trina_NDB_US,AL,Trina,NDB,353,46.175498962402344,-118.19599914550781,,US,,,,,,,16.139,TERMINAL,MEDIUM,KALW
85395,Allersberg_VOR-DME_DE,ALB,Allersberg,VOR-DME,111200,49.21440124511719,11.221400260925293,1434,DE,111200,049X,,,,1.01,1.326,BOTH,HIGH,
85396,Albenga_VOR-DME_IT,ALB,Albenga,VOR-DME,116950,44.04819869995117,8.127619743347168,136,IT,116950,116Y,44.0483,8.12761,136,,0.501,BOTH,MEDIUM,LIMG
85401,Alderney_NDB_GG,ALD,Alderney,NDB,383,49.708900451660156,-2.199700117111206,331,GG,,,,,,,-2.465,LO,LOW,
85404,Alster_DME_DE,ALF,Alster,DME,115800,53.63529968261719,9.994139671325684,66,DE,115800,105X,,,,,1.055,TERMINAL,LOW,EDDH
85405,Alghero_VORTAC_IT,ALG,Alghero,VORTAC,113800,40.62810134887695,8.243889808654785,1447,IT,113800,085X,,,,0.007,0.533,BOTH,HIGH,LIEA
85406,Alghero_NDB_IT,ALG,Alghero,NDB,382,40.63999938964844,8.291669845581055,,IT,,,,,,,0.54,LO,LOW,LIEA
85412,Alma_VOR_SE,ALM,Alma,VOR,116400,55.41130065917969,13.557499885559082,,SE,,,,,,2.001,2.181,RNAV,HIGH,
85414,Al_Hoceima_VOR-DME_MA,ALM,Al Hoceima,VOR-DME,115000,35.19110107421875,-3.8417301177978516,46,MA,115000,097X,,,,-5.007,-2.05,BOTH,HIGH,GMTA
85415,Aix_Les_Milles_NDB_FR,ALM,Aix Les Milles,NDB,430,43.5078010559082,5.360469818115234,367,FR,,,,,,,0.098,TERMINAL,LOW,LFMA
85420,Alger_VOR-DME_DZ,ALR,Alger,VOR-DME,112500,36.69110107421875,3.215559959411621,82,DZ,112500,072X,,,,-1.006,-0.139,BOTH,HIGH,DAAG
85421,Alsie_VOR_DK,ALS,Alsie,VOR,114700,54.905399322509766,9.993379592895508,,DK,,,,,,1.008,1.031,RNAV,HIGH,
85424,Alicante_VOR-DME_ES,ALT,Alicante,VOR-DME,113800,38.2682991027832,-0.570114016532898,166,ES,113800,085X,38.2683,-0.570061,166,,-1.138,BOTH,HIGH,LEAL
