id,airport_ref,airport_ident,length_ft,width_ft,surface,lighted,closed,le_ident,le_latitude_deg,le_longitude_deg,le_elevation_ft,le_heading_degT,le_displaced_threshold_ft,he_ident,he_latitude_deg,he_longitude_deg,he_elevation_ft,he_heading_degT,he_displaced_threshold_ft
233754,3,AGGH,7218,148,ASP,1,0,06,-9.431739807128906,160.0449981689453,28,68,,24,-9.424260139465332,160.06399536132812,14,248,
238355,66,AYNZ,8000,148,ASP,1,0,09,-6.56887,146.714996,239,95,,27,-6.57078,146.737,216,275,
238362,67,AYPY,9022,148,ASP,1,0,14L,-9.430870056152344,147.21400451660156,103,148.4,,32R,-9.452099800109863,147.2270050048828,128,328.4,
238361,67,AYPY,4625,148,ASP,0,0,14R,-9.434709548950195,147.21299743652344,104,142,,32L,-9.450630187988281,147.22300720214844,129,322,
504924,114,BGGH,7217,148,ASPH,1,0,04,64.181442,-51.686234,275,,,22,64.200249,-51.672482,275,,
236103,114,BGGH,3117,98,ASP,1,1,05,64.189003,-51.6796,271,19,,23,64.197098,-51.673401,281,199,
236462,117,BIAR,8858,148,ASP,1,0,01,65.6549,-18.0699,7,356,492,19,65.6672,-18.074,5,176,492
236460,123,BIKF,10020,197,ASP,1,0,01,63.964487,-22.605428,135,14,,19,63.99186,-22.605407,161,194,
236461,123,BIKF,10056,197,ASP,1,0,10,63.985026,-22.654977,109,104,,28,63.985031,-22.592365,168,284,
246235,4614,BKPR,9974,148,ASP,1,0,17,42.58533477783203,21.03459930419922,1789,176,,35,42.55803680419922,21.03737449645996,1786,356,
234742,1717,CYEG,11000,200,ASP,1,0,02,53.30889892578125,-113.59600067138672,2322,33.9,,20,53.33420181274414,-113.56800079345703,2337,213.9,
234743,1717,CYEG,10200,200,ASP,1,0,12,53.306400299072266,-113.59500122070312,2325,135.1,,30,53.28670120239258,-113.56199645996094,2372,315.1,
234672,1770,CYHZ,10500,200,ASP,1,0,05,44.86859893798828,-63.525001525878906,449,35,,23,44.888301849365234,-63.50559997558594,443,215,361
234673,1770,CYHZ,7700,200,ASP,1,0,14,44.89360046386719,-63.5182991027832,435,126,,32,44.881099700927734,-63.49420166015625,476,306,
235026,1808,CYLW,8900,200,ASP,1,0,16,49.96609878540039,-119.37899780273438,1421,175,1200,34,49.94620132446289,-119.3759994506836,1370,355,400
234949,1840,CYOW,3300,75,ASP,0,0,04,45.32667541503906,-75.68901824951172,348,26,250,22,45.33430099487305,-75.68350219726562,335,206,
234950,1840,CYOW,8000,200,ASP,1,0,07,45.31330108642578,-75.6709976196289,373,57.2,,25,45.325199127197266,-75.6447982788086,362,237.2,
234951,1840,CYOW,10000,200,ASP,1,0,14,45.32703399658203,-75.68624114990234,349,126.3,,32,45.310791015625,-75.65492248535156,371,306.3,
234547,1864,CYQB,9000,150,ASP,1,0,06,46.7822,-71.406403,244,44,,24,46.799974,-71.381072,217,224,
234548,1864,CYQB,5700,150,ASP,1,0,11,46.78879928588867,-71.40290069580078,239,97.6,,29,46.786800384521484,-71.38040161132812,231,277.6,
235037,1928,CYUL,11000,200,ASP,1,0,06L,45.461063385009766,-73.7650146484375,96,42.7,,24R,45.4832763671875,-73.73592376708984,106,222.7,
235036,1928,CYUL,9600,200,ASP,1,0,06R,45.45766067504883,-73.74138641357422,98,41.3,,24L,45.477020263671875,-73.71601104736328,117,221.3,
235038,1928,CYUL,7000,200,ASP,1,1,10,45.462502,-73.764999,96,88,,28,45.463299,-73.738297,99,268,
234512,1941,CYVR,9940,200,CON,1,0,08L,49.20500183105469,-123.20099639892578,13,100,,26R,49.200599670410156,-123.16000366210938,9,280,
234511,1941,CYVR,11500,200,ASP,1,0,08R,49.190101623535156,-123.20800018310547,9,100.3,697,26L,49.18439865112305,-123.16100311279297,6,280.3,
234513,1941,CYVR,7300,200,CON,1,0,13,49.19990158081055,-123.20099639892578,8,142,,31,49.184200286865234,-123.18199920654297,7,322,
234510,1941,CYVR,3500,75,CON,0,1,XX,49.18579864501953,-123.2020034790039,8,99.8,,26A,49.184200286865234,-123.18800354003906,8,279.8,
234934,1946,CYWG,4500,200,ASP,0,1,07,49.908599853515625,-97.23529815673828,,75.4,,25,49.91170120239258,-97.21690368652344,775,255.4,
234935,1946,CYWG,8841,200,ASP,1,0,13,49.9128,-97.252197,783,137,,31,49.895302,-97.227203,773,317,
234936,1946,CYWG,11000,200,ASP,1,0,18,49.92530059814453,-97.23419952392578,781,189.3,,36,49.895599365234375,-97.24169921875,777,9.3,
234809,1957,CYXE,8300,200,ASP,1,0,09,52.17850112915039,-106.71800231933594,1653,101,,27,52.174198150634766,-106.68199920654297,1642,281,
234810,1957,CYXE,6200,150,ASP,1,0,15,52.179199,-106.705002,1645,165,,33,52.16294,-106.696728,1646,345,
234693,1973,CYYC,6200,150,ASP,1,1,08,51.104198,-114.029999,3531,90,,26,51.104198,-114.002998,3557,270,
234694,1973,CYYC,8000,200,ASP,1,0,11,51.126399993896484,-114.03700256347656,3547,119.5,,29,51.1156005859375,-114.00599670410156,3542,299.5,
319574,1973,CYYC,14000,200,CONC,1,0,17L,51.1483,-113.989998,3606,180,,35R,51.110001,-113.989998,3577,,
234695,1973,CYYC,12675,200,ASP,1,0,17R,51.13140106201172,-114.02100372314453,3556,180,,35L,51.09659957885742,-114.02100372314453,3543,360,
234597,1979,CYYJ,5027,200,ASP,1,0,03,48.64189910888672,-123.43399810791016,51,43.9,1405,21,48.65190124511719,-123.41899871826172,54,223.9,886
234598,1979,CYYJ,7000,200,ASP,1,0,09,48.6510009765625,-123.44000244140625,53,105,,27,48.645999908447266,-123.41200256347656,56,285,
234599,1979,CYYJ,5001,200,ASP,1,0,14,48.65250015258789,-123.43299865722656,63,151.9,427,32,48.64059829711914,-123.4229965209961,44,331.9,
234877,1986,CYYT,5028,100,ASP,1,1,02,47.611698,-52.738098,445,356,,20,47.625401,-52.739498,440,176,
234878,1986,CYYT,8502,200,ASP,1,0,10,47.623299,-52.7733,458,86,,28,47.625,-52.738899,437,266,
234879,1986,CYYT,7005,197,ASP,1,0,16,47.625801,-52.7514,444,142,,34,47.6106,-52.733898,431,322,
234792,1990,CYYZ,11120,200,ASP/CONC,1,0,05,43.67390060424805,-79.66390228271484,564,47,135,23,43.694698333740234,-79.63330078125,560,227,485
234794,1990,CYYZ,9697,200,ASP,1,0,06L,43.661048889160156,-79.62342834472656,529,47,,24R,43.678977966308594,-79.59736633300781,546,227,197
234793,1990,CYYZ,9000,200,ASP,1,0,06R,43.65829849243164,-79.6219253540039,525,47,,24L,43.675289154052734,-79.59723663330078,547,227,
234796,1990,CYYZ,11050,200,ASP,1,0,15L,43.691898345947266,-79.64219665527344,557,137,,33R,43.66999816894531,-79.61389923095703,544,317,
234795,1990,CYYZ,9088,200,ASP,1,0,15R,43.68579864501953,-79.65170288085938,551,137,588,33L,43.66749954223633,-79.62830352783203,544,317,588
232790,2049,DAAE,7874,148,ASP,1,0,08,36.709999084472656,5.056670188903809,20,80,,26,36.713600158691406,5.083059787750244,10,260,
232826,2050,DAAG,11483,197,ASP,1,0,05,36.69390106201172,3.220170021057129,72,53,,23,36.71289825439453,3.2513999938964844,82,233,
232827,2050,DAAG,11483,148,ASP,1,0,09,36.692100524902344,3.170830011367798,56,92,,27,36.691200256347656,3.2099199295043945,82,272,
232794,2051,DAAJ,7874,148,ASP,1,0,02,24.273899,9.44399,3140,22,,20,24.294201,9.45259,3163,202,
232795,2051,DAAJ,9843,148,ASP,1,0,13,24.293100357055664,9.451939582824707,3163,125,,31,24.276899337768555,9.476940155029297,3169,305,
232800,2056,DAAT,11811,148,ASP,1,0,02,22.79640007019043,5.444389820098877,4459,22,,20,22.826499938964844,5.457749843597412,4518,202,
232801,2056,DAAT,10171,148,ASP,1,0,08,22.807301,5.42277,4465,82,,26,22.8113,5.45269,4472,262,
232846,2057,DAAV,7874,148,ASP,1,0,17,36.80580139160156,5.871500015258789,20,171,,35,36.784400939941406,5.8757100105285645,36,351,
232792,2060,DABB,7513,148,ASP,1,0,05,36.82059860229492,7.8067498207092285,16,51.8,,23,36.83330154418945,7.8267998695373535,10,231.8,
232791,2060,DABB,9843,148,ASP,1,0,18,36.84510040283203,7.812739849090576,10,186.9,,36,36.81829833984375,7.808700084686279,16,6.9,335
232828,2061,DABC,7874,148,ASP,1,0,13,36.284401,6.61472,2306,136,,31,36.268902,6.63333,2254,316,
232829,2061,DABC,9843,148,ASP,0,0,16,36.28810119628906,6.610559940338135,2313,159,,34,36.26279830932617,6.622499942779541,2316,339,
232787,2063,DABT,9843,148,ASP,1,0,05,35.744300842285156,6.29502010345459,2664,54.9,,23,35.7598991394043,6.322159767150879,2700,234.9,
232812,2068,DAOI,5413,98,ASP,0,0,07,36.209652,1.323303,463,66,,25,36.215473,1.339783,463,246,
507543,2068,DAOI,8793,148,ASPH,0,0,08,36.214882,1.329539,497,,,26,36.220215,1.358608,497,,
232793,2070,DAON,8530,148,ASP,1,0,07,35.009300231933594,-1.4705899953842163,807,70,,25,35.017398834228516,-1.443809986114502,804,250,
232841,2071,DAOO,11811,148,ASP,1,0,07L,35.616641998291016,-0.6421390175819397,297,67,,25R,35.628944396972656,-0.6060810089111328,297,247,196
349210,2071,DAOO,9843,148,CON,1,0,07R,35.614200592041016,-0.6408609747886658,297,,,25L,35.62459945678711,-0.6102889776229858,297,,
232821,2076,DAUB,9469,148,ASP,0,0,13,34.801700592041016,5.726150035858154,285,130,,31,34.785099029541016,5.750470161437988,236,310,
233745,2087,DBBB,7906,148,ASP,1,0,06,6.350662,2.375753,16,53,125,24,6.363721,2.39313,13,233,
246024,2088,DFFD,9843,148,ASP,1,0,04,12.341699600219727,-1.5199700593948364,1034,33,,22,12.364439964294434,-1.50478994846344,982,213,
